480,580,20,4620,0,0,0,0
500,580,200,20,0,0,0,0
680,480,20,100,0,0,0,0
680,460,200,20,0,0,0,0
860,360,20,100,0,0,0,0
860,340,200,20,0,0,0,0
1060,340,20,400,0,0,0,0
1060,740,300,20,0,0,0,0
1360,560,20,200,0,0,0,0
1380,560,300,20,0,0,0,0
1680,560,20,4440,0,0,0,0
1910,760,20,100,0,0,0,0
1930,760,100,20,0,0,0,0
2030,760,20,100,0,0,0,0
1930,840,100,20,0,0,0,0
2410,760,20,100,0,0,0,0
2430,760,100,20,0,0,0,0
2530,760,20,100,0,0,0,0
2430,840,100,20,0,0,0,0
2180,760,100,20,2,0,130,0
2650,760,100,20,2,0,100,0
2850,760,20,4240,0,0,0,0
2870,760,100,20,0,0,0,0
2950,660,20,100,0,0,0,0
2970,660,100,20,0,0,0,0
3050,460,20,200,0,0,0,0
3070,550,100,20,0,1,0,90
3170,460,20,100,0,0,0,0
3190,460,400,20,0,0,0,0
3590,460,20,420,0,0,0,0
3070,660,420,20,0,0,0,0
2970,860,620,20,0,0,0,0
3490,750,100,20,0,1,0,90
2950,830,20,180,0,1,0,50
2870,1060,1040,20,0,0,0,0
3610,860,500,20,0,0,0,0
4110,860,20,400,0,0,0,0
2870,1260,1260,20,0,0,0,0
3910,1150,200,20,0,1,0,90
3710,1160,100,20,0,1,0,80
3510,1160,100,20,0,1,0,80
3310,1160,100,20,0,1,0,80
3110,1160,100,20,0,1,0,80
2910,1160,100,20,0,1,0,80
